session_id,packets_amount,packets_size_all,packets_size_avg,packets_size_dis,avg_time_between,avg_time_dis
0,15,1647,109.800,40.960,0.468,0.245
1,28279,30145414,1066.000,0.000,0.011,0.000
2,2,120,60.000,0.000,0.000,0.000
3,3,180,60.000,0.000,4.496,2.261
4,1,60,60.000,0.000,0,0
5,1,60,60.000,0.000,0,0
6,1,60,60.000,0.000,0,0
7,3,180,60.000,0.000,4.494,2.268
8,2,120,60.000,0.000,0.000,0.000
9,1,60,60.000,0.000,0,0
10,2,120,60.000,0.000,0.015,0.000
11,1,60,60.000,0.000,0,0
12,1,60,60.000,0.000,0,0
13,2,120,60.000,0.000,1.156,0.000
14,2,120,60.000,0.000,0.644,0.000
15,1,60,60.000,0.000,0,0
16,2,120,60.000,0.000,0.001,0.000
17,1,60,60.000,0.000,0,0
18,5,2395,479.000,0.000,8.689,35.182
19,2,120,60.000,0.000,14.738,0.000
20,2,330,165.000,0.000,5.938,0.000
21,5,2395,479.000,0.000,7.150,25.600
22,7,3353,479.000,0.000,6.113,42.835
23,3,1437,479.000,0.000,7.248,33.095
24,6,2874,479.000,0.000,6.962,18.557
25,5,2395,479.000,0.000,8.812,40.063
26,3,1437,479.000,0.000,17.110,80.733
27,3,1437,479.000,0.000,17.294,0.518
28,2,120,60.000,0.000,0.922,0.000
29,4,1916,479.000,0.000,11.542,19.398
30,3,1437,479.000,0.000,9.097,66.836
31,2,958,479.000,0.000,16.092,0.000
32,2,958,479.000,0.000,13.845,0.000
33,4,1916,479.000,0.000,2.891,4.484
34,7,3301,471.571,331.102,14.648,214.551
35,6,2874,479.000,0.000,7.669,22.467
36,2,120,60.000,0.000,0.000,0.000
37,1,60,60.000,0.000,0,0
38,1,60,60.000,0.000,0,0
39,1,60,60.000,0.000,0,0
40,1,60,60.000,0.000,0,0
41,2,120,60.000,0.000,0.000,0.000
42,2,120,60.000,0.000,0.000,0.000
43,2,120,60.000,0.000,0.042,0.000
44,1,60,60.000,0.000,0,0
45,7,4985,712.143,2549134.408,0.306,0.106
46,2,120,60.000,0.000,0.964,0.000
47,1,60,60.000,0.000,0,0
48,1,60,60.000,0.000,0,0
49,2,120,60.000,0.000,0.055,0.000
50,2,120,60.000,0.000,0.033,0.000
51,2,120,60.000,0.000,0.040,0.000
52,2,120,60.000,0.000,0.000,0.000
53,2,120,60.000,0.000,0.019,0.000
54,2,120,60.000,0.000,0.000,0.000
55,2,120,60.000,0.000,0.000,0.000
56,1,60,60.000,0.000,0,0
57,1,60,60.000,0.000,0,0
58,1,60,60.000,0.000,0,0
59,1,60,60.000,0.000,0,0
60,1,60,60.000,0.000,0,0
61,1,60,60.000,0.000,0,0
62,2,120,60.000,0.000,0.054,0.000
63,2,120,60.000,0.000,1.411,0.000
64,1,60,60.000,0.000,0,0
65,2,120,60.000,0.000,0.000,0.000
66,1,60,60.000,0.000,0,0
67,2,120,60.000,0.000,0.484,0.000
68,2,120,60.000,0.000,1.092,0.000
69,1,60,60.000,0.000,0,0
70,1,60,60.000,0.000,0,0
71,1,60,60.000,0.000,0,0
72,2,120,60.000,0.000,0.000,0.000
73,3,238,79.333,131.556,0.042,0.000
74,6,476,79.333,131.556,0.015,0.000
75,6,476,79.333,131.556,0.006,0.000
76,3,238,79.333,131.556,0.118,0.000
77,1,92,92.000,0.000,0,0
78,2,208,104.000,0.000,0.000,0.000
79,2,208,104.000,0.000,0.000,0.000
80,6,552,92.000,0.000,3.775,36.590
81,18,1656,92.000,0.000,0.268,0.129
82,3,312,104.000,0.000,0,0
83,2,208,104.000,0.000,0.000,0.000
84,1,104,104.000,0.000,0,0
85,1,104,104.000,0.000,0,0
86,2,208,104.000,0.000,0.000,0.000
87,1,104,104.000,0.000,0,0
88,2,208,104.000,0.000,0.000,0.000
89,1,243,243.000,0.000,0,0
90,1,243,243.000,0.000,0,0
91,1,243,243.000,0.000,0,0
92,1,230,230.000,0.000,0,0
93,33,7778,235.697,53.181,6.894,247.640
94,11,1532,139.273,9041.653,0.001,0.000
95,11,1532,139.273,9041.653,0.002,0.000
96,11,1532,139.273,9041.653,0.002,0.000
97,1,60,60.000,0.000,0,0
98,1,60,60.000,0.000,0,0
99,2,120,60.000,0.000,0.516,0.000
100,2,120,60.000,0.000,1.124,0.000
101,2,120,60.000,0.000,0.229,0.000
102,1,60,60.000,0.000,0,0
103,1,60,60.000,0.000,0,0
104,2,120,60.000,0.000,0.021,0.000
105,1,60,60.000,0.000,0,0
106,1,60,60.000,0.000,0,0
107,2,120,60.000,0.000,0.000,0.000
108,2,120,60.000,0.000,0.000,0.000
109,2,120,60.000,0.000,0.031,0.000
110,1,60,60.000,0.000,0,0
111,1,60,60.000,0.000,0,0
112,1,60,60.000,0.000,0,0
113,2,120,60.000,0.000,0.000,0.000
114,2,120,60.000,0.000,0.772,0.000
115,1,60,60.000,0.000,0,0
116,2,120,60.000,0.000,0.676,0.000
117,5,380,76.000,0.000,2.001,1.508
118,18,1368,76.000,0.000,2.161,5.809
119,1,60,60.000,0.000,0,0
120,19,1444,76.000,0.000,2.347,6.015
121,15,1140,76.000,0.000,2.599,8.107
122,2,120,60.000,0.000,0.804,0.000
123,1,60,60.000,0.000,0,0
124,16,1216,76.000,0.000,2.414,8.054
125,1,60,60.000,0.000,0,0
126,13,988,76.000,0.000,2.931,8.695
127,16,1216,76.000,0.000,2.739,7.524
128,1,60,60.000,0.000,0,0
129,18,1368,76.000,0.000,2.340,6.742
130,17,1292,76.000,0.000,2.300,7.346
131,2,120,60.000,0.000,0.293,0.000
132,5,365,73.000,0.000,2.004,1.502
133,14,1064,76.000,0.000,2.762,8.345
134,16,1216,76.000,0.000,2.685,6.658
135,34,2586,76.059,0.114,1.649,6.110
136,17,1292,76.000,0.000,2.545,5.405
137,2,146,73.000,0.000,5.938,0.000
138,18,1368,76.000,0.000,2.428,6.557
139,20,1520,76.000,0.000,2.184,6.550
140,16,1216,76.000,0.000,2.375,7.395
141,2,120,60.000,0.000,0.006,0.000
142,2,120,60.000,0.000,0.000,0.000
143,1,60,60.000,0.000,0,0
144,2,120,60.000,0.000,0.000,0.000
145,3,204,68.000,128.000,10.794,116.497
146,1,84,84.000,0.000,0,0
147,9,660,73.333,142.222,1.395,1.245
148,1,60,60.000,0.000,0,0
149,6,432,72.000,144.000,4.515,10.179
150,2,144,72.000,144.000,0.321,0.000
151,1,84,84.000,0.000,0,0
152,3,228,76.000,128.000,11.902,52.572
153,50,5138,102.760,2291.782,5.851,242.816
154,11,1639,149.000,7823.636,0.002,0.000
155,6,372,62.000,0.000,1.794,5.755
156,30,3355,111.833,2233.606,10.319,281.120
157,6,372,62.000,0.000,1.800,5.771
158,6,471,78.500,1638.583,0.029,0.003
159,6,372,62.000,0.000,1.803,5.776
